4 roff
8 tae
8 tay
9 nine
a uh
a uhh
a(1) ae
a(1) ay
aah ah
aah ahh
aah awe
aargh gras(1)
aase sa
abbas saba
abbas sabah
abboud duba
abe bay
abe baye
abe bayh
abe bey
abee eba
abee iba
abood duba
ace say
ace saye
ace se
ace seay
ache cay
ache k
ache kay
ache kaye
ache khe
ache quai
ache quay(1)
ache quaye
achy ek(1)
across sorcha
ada aday
adar rada
adar radha
ade dae
ade day
ade daye
ade de(1)
ade dey
adee eda
adee iida
adel leoda
adele leoda
adell leoda
adelle leoda
adieu uhde(1)
ado uhde(1)
ae ay
aer reh
aesop posse
age j
age jae
age jay
age jaye
aglo olga
aglow olga
agog gaga
ah ahh
ah awe
aha ahah
ahh awe
ahl la
ahl law(1)
ahr ra
ahr rah
ahr raw
ahr rha
ai ay(1)
ai aye
ai eye
ai i
aickin nikkei
aid dae
aid day
aid daye
aid de(1)
aid dey
aide dae
aide day
aide daye
aide de(1)
aide dey
aiken nikkei
aikey ek(1)
aikin nikkei
ail lait
ail lay
ail laye
ail lei
ail les(1)
ail ley
ail leyh
aim mae
aim may
aim maye
aim mei
aim mey
aime mae
aime may
aime maye
aime mei
aime mey
aine nay
aine ne(1)
aine nej
aine ney
air reh
aisle lai
aisle lie
aisle ly
aisle lye
ake cay
ake k
ake kay
ake kaye
ake khe
ake quai
ake quay(1)
ake quaye
akin(1) nikkei
ala(1) allais
ala(1) allay
alair rella
alas salah
ale lait
ale lay
ale laye
ale lei
ale les(1)
ale ley
ale leyh
aleen neala
aleen nila
alem mella
alene neala
alene nila
aleve vila
all law
alla olah
allah olah
allee ila
allee isla
allude dula
alone nola
alone nolla
alum(1) mullah
amal lama
amal llama
amar rama
ame mae
ame may
ame maye
ame mei
ame mey
ana ona
ane nay
ane ne(1)
ane nej
ane ney
anette tena
anew oona
anew una
annaud doanna
annaud dona
anneal leana
anneal leena
anneal lena
anneal lina
annett tena
annette tena
ape pay
ape paye
ape pei
apes spay
apes spey
apiece sipa
app pah
appeal lipa
appease zepa(1)
ar ra
ar rah
ar raw
ar rha
arb bra
arc krah
are ra
are rah
are raw
are rha
are(1) er
are(1) err(1)
are(1) eure
are(1) or(1)
are(1) ur
argh gras(1)
ark krah
arone knower
around(1) knauer
around(1) nauer
arraign neher
arraign neyer
array ayer(1)
arrays zaher
arrive viar
as(1) zeh
asap(1) passe
asay eisa
assad dasa
assam masa
assess sessa
assume moosa
astin nitsa
ate tae
ate tay
ater erte(1)
ates stay
aton nata
attests(1) ceta
au aux
au eau
au eaux
au o
au oh
au ohh
au ow
au owe
aube baugh
auch chaw
aud daw
aud dawe
aue ow(1)
auge jaw
aul law
aull law
aune gnaw
aussie esau
auth thaw
aux eau
aux eaux
aux o
aux oh
aux ohh
aux ow
aux owe
avail leyva
avis sevey
aw awe(1)
awb bao
awb bough
awb bow
awed daw
awed dawe
awry ayer
awry eyer
awry iyer
ay(1) aye
ay(1) eye
ay(1) i
aydt tae
aydt tay
aye eye
aye i
ayn nay
ayn ne(1)
ayn nej
ayn ney
ayr rae
ayr ray
ayr raye
ayr re
ayr rea
ayr reay
ayr rey
ayr wray
ayre reh
aytes stay
baab bob
baab bobb
baack cob
baack cobb
baade dob
baade dobb
baar raab
baar raabe
baar rob
baar robb
baar robbe
baasch schaab
baatz staab
baatz stobbe
bab babb
bach cob
bach cobb
back cab
backe cab
backes scab
backs scab
bad dab
badge jab
baehr reeb
baehr riebe
baetz steeb
baetz steib
bag gab
bagg gab
bagge gab
bahl lob
bahl lobb
bahm mab
bahn knab
bahn knabb
bahn nab
bahn nabb
bahr(1) raab
bahr(1) raabe
bahr(1) rob
bahr(1) robb
bahr(1) robbe
bahre raab
bahre raabe
bahre rob
bahre robb
bahre robbe
baig gabe
bail labe
bail laib
baile labe
baile laib
baim mabe
bain knabe
baine knabe
baisch scheib
baisch scheibe
baits staib
bak cab
bake cabe
bakke cab
bal lab
bal labbe
bale labe
bale laib
ball laub
ball laube
balle labe
balle laib
balm mob
bam mab
bame mabe
ban knab
ban knabb
ban nab
ban nabb
bane knabe
banh knab
banh knabb
banh nab
banh nabb
bann knab
bann knabb
bann nab
bann nabb
bar raab
bar raabe
bar rob
bar robb
bar robbe
barch krob
barg grob
bark krob
barke krob
barr raab
barr raabe
barr rob
barr robb
barr robbe
barre(1) raab
barre(1) raabe
barre(1) rob
barre(1) robb
barre(1) robbe
barth throb
basch schab
bash schab
bass sabb
basse sabb
bat tab
bat tabb
bates staib
bats stab
batt tab
batt tabb
batte tab
batte tabb
batts stab
batz stab
baud daub
baud daube
baughn knaub
baun knaub
baur raub
bautz staub
bawd daub
bawd daube
bawl laub
bawl laube
bax scab
bayle labe
bayle laib
bayne knabe
bead deeb
beal leeb
beal leib
beal lieb
beal liebe
beale leeb
beale leib
beale lieb
beale liebe
beall leeb
beall leib
beall lieb
beall liebe
bean neeb
beane neeb
bearce serb
beare rib
bearse serb
bearss serb
beas zeeb
beats steeb
beats steib
bed deb
bede deeb
beede deeb
beel leeb
beel leib
beel lieb
beel liebe
been nib
been nibbe
been(1) nub
been(2) nib
been(2) nibbe
beene neeb
beer rib
bees zeeb
beese zeeb
beets steeb
beets steib
begue gabe
beil leeb
beil leib
beil lieb
beil liebe
beilke klebe
bein neeb
beine neeb
beitz steeb
beitz steib
belous celeb
berch curb
berch kerb
bere rib
berk curb
berk kerb
berke curb
berke kerb
bersch scherb
bes zeeb
bet tebbe
bett tebbe
beyl labe
beyl laib
bhatt tab
bhatt tabb
bib bibb
bic kibbe
bice cyb
bick kibbe
bid dibb
biehl leeb
biehl leib
biehl lieb
biehl liebe
biehn neeb
biel leeb
biel leib
biel lieb
biel liebe
bielke klebe
bien neeb
bier reeb
bier riebe
bietz steeb
bietz steib
big gib
bihl lib
bihm mib
bihn nib
bihn nibbe
bil lib
bill lib
bin nib
bin nibbe
binn nib
binn nibbe
bir erb
bir erbe
bir herb
birk curb
birk kerb
birr erb
birr erbe
birr herb
bis sib
biss sib
bissey easib
bix skibbe
black kalb
bleak kielb
bless selbe
bloke kolb
bloke kolbe
boak cobe
boake cobe
boal lobe
boal loeb
boar raub
boart traub
boat tobe
bob bobb
boch cob
boch cobb
bock cob
bock cobb
boeck cobe
boege job(1)
boege jobe
boehl lobe
boehl loeb
boehm mobe
boehm(1) mabe
boehme mobe
boehme(1) mabe
boeke cobe
boer raub
boesch shobe
boff fob
bog gob
bog(1) gaub
boge job(1)
boge jobe
bohl lobe
bohl loeb
bohlke cob
bohlke cobb
bohm mob
bohr raub
bok cob
bok cobb
bol lob
bol lobb
bole lobe
bole loeb
boll lobe
boll loeb
bolle lob
bolle lobb
bom mob
bomb mob
bon knob
bon knobbe
bon naab
bon nobbe
bonn knob
bonn knobbe
bonn naab
bonn nobbe
bonne knob
bonne knobbe
bonne naab
bonne nobbe
bons snob
boock koob
booed dube
boole lube
boole luebbe
boos zube
boot tube
boote tube
boots stuebe
bootz stuebe
booz zube
booze zube
bore raub
borre raub
bort traub
bos saab
bos sob
bosch schaub
bosch shaub
bosh schaab
boss saab
boss sob
bosse saab
bosse sob
both thobe
botts staab
botts stobbe
botz staab
botz stobbe
bouck cobe
bought(1) taube
boule lube
boule luebbe
bourke curb
bourke kerb
bout taub
boutte tube
bowed doub
bowl lobe
bowl loeb
brosch shorb
broz zarb
bub bubb
buc cub
buch chubb
buche chubb
buck cub
bud dub
budd dub
budde dub
budge jubb
bui ib
buice sib
bulk club
bulk clubb
bun nub
bunce snub
bunn nub
buol lobe
buol loeb
bupp pub
bur erb
bur erbe
bur herb
burck curb
burck kerb
burk curb
burk kerb
burke curb
burke kerb
burr erb
burr erbe
burr herb
bursch scherb
burse serb
bus sub
buss sub
busse sub
but tub
but tubb
buts stub
buts stubbe
butsch chubb
butt tub
butt tubb
butts stub
butts stubbe
butz stub
butz stubbe
buus zube
buysse cyb
ca(2) och
caan knaack
caan knaak
caan knoch
caan knock
caan nock
cabot tabak(1)
cac caq
cache schack
cache shack
cache shaq
cad dac
cad dack
cad dak
cade dake
caen knack
caen nack
caen nacke
caen(1) knaack
caen(1) knaak
caen(1) knoch
caen(1) knock
caen(1) nock
cage jake
cahn knack
cahn nack
cahn nacke
cai eich
cai eick
cai eike
cai ike
cail lake
cain naik
caine naik
caire rec
caire rech
caire reck
caire wreck
caisse sake
cal lac
cal lack
cal lak
cale lake
calf fac
calk caulk(1)
calk kalk
calk kauk
call lauck
calle lake
callow olack
calm maack
calm mach
calm moch
calm mock
calm mok
cam mac
cam mack
cam macke
cam mak
came make
camm mac
camm mack
camm macke
camm mak
can knack
can nack
can nacke
cane naik
cann knack
cann nack
cann nacke
cannes(1) knack
cannes(1) nack
cannes(1) nacke
cap pac
cap pack
cap pak
cap paque
cape paik
cape pake
capelle lepak
capes spake
capp pac
capp pack
capp pak
capp paque
capps spack
capps spak
caps spack
caps spak
car roc
car roch
car rock
car rocke
car rocque
care rec
care rech
care reck
care wreck
carp proch
carp prock
carr roc
carr roch
carr rock
carr rocke
carr rocque
carre roc
carre roch
carre rock
carre rocke
carre rocque
carriage jirak
cars(1) zoch
carts strock
cas sac
cas sack
cas sak
case sake
cash schack
cash shack
cash shaq
cass sac
cass sack
cass sak
cat ptak
cat tac
cat tack
cat tacke
cat tak
cat t_a_c(1)
cate take
cates stake
cates steak
cats stac
cats stack
catt ptak
catt tac
catt tack
catt tacke
catt tak
catt t_a_c(1)
cau(1) oak
cau(1) olk
caught tock
caught(1) talk
caul laack
caul laake
caul loch
caul lock
caul locke
caul lok
caul(1) lauck
caulk cock
caulk kock
caulk kok
caulk(1) kalk
caulk(1) kauk
cause zoch
cayce sake
cayne naik
cease cece
cease seis
cease siess
cece seis
cece siess
cech kess
cede dease
cees zeese(1)
cel les
cel less
cele lease
cele leece
cele leese
cele leise
cell les
cell less
cep pesce
cerf furse
cern nurse
chair wretch
chalk kotch
chalk tkacz
chalk(1) koch
cham mache
cham match
cham matsch
chance snatch
chao ouch
chap patch
chapp patch
char racz
chart tracz
chart troche
chat tatsch
chats stach
chatted(1) detach
chatz stach
chau oesch
che h
chea each
cheap peach
cheap piech
